Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_argvec(String                                      0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`cp_expand(String                                      0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`szone_free_definite_size                  1   0.8%
libsystem_c.dylib`tiny_free_list_remove_ptr                 1   0.8%
libsystem_c.dylib`tiny_free_detach_region                   1   0.8%
libsystem_kernel.dylib`madvise                              1   0.8%
click`RadixIPLookup106::reclaim_v()                         1   0.8%
libsystem_c.dylib`tiny_malloc_from_free_list                1   0.8%
libsystem_c.dylib`get_tiny_previous_free_msize              2   1.6%
click`RadixIPLookup106::remove_from_v(int)                  2   1.6%
libsystem_c.dylib`pthread_self                              2   1.6%
libsystem_c.dylib`memmove$VARIANT$sse42                     2   1.6%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        5   4.0%
click`_ZL18ip_address_portionPKcS0_PhRi                     8   6.3%
click`_ZL18skip_spacevec_itemPKcS0_                         8   6.3%
click`Lexer::FileState::lex_config(Lexer*)                 16  12.7%
click`cp_shift_spacevec(String&)                           19  15.1%
click`_ZL17partial_uncommentRK6StringiPi                   22  17.5%
click`0x0                                                  34  27.0%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`RadixIPLookup106::insert_into_v(IPRoute               0   0.0%
click`cp_expand(String                                      0   0.0%
click`RadixIPLookup106::Radix::change(unsigned              0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup106::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`BucketArray<IPRoute>::push_back(IPRoute               0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`pthread_self                              1   0.8%
libsystem_c.dylib`szone_malloc_should_clear                 1   0.8%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.8%
click`RadixIPLookup106::remove_from_v(int)                  1   0.8%
click`PoundRadixIPLookupM106::run_task(Task*)               1   0.8%
libsystem_c.dylib`memmove$VARIANT$sse42                     1   0.8%
libsystem_c.dylib`szone_size                                1   0.8%
libsystem_c.dylib`get_tiny_previous_free_msize              2   1.7%
click`RadixIPLookup106::reclaim_v()                         2   1.7%
libsystem_c.dylib`free                                      2   1.7%
libsystem_c.dylib`szone_free_definite_size                  2   1.7%
libsystem_c.dylib`tiny_malloc_from_free_list                3   2.5%
click`RadixIPLookup106::Radix::free_radix(RadixIPLookup106::Radix*)        4   3.4%
libsystem_c.dylib`bzero$VARIANT$sse42                       4   3.4%
click`_ZL18ip_address_portionPKcS0_PhRi                     4   3.4%
