Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<Lexer::ElementType>::reserve_and_push_back(int,        0   0.0%
click`String::equals(char                                   0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`IPAddress::make_prefix(int)                           1   0.2%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.2%
libsystem_c.dylib`free                                      1   0.2%
libsystem_c.dylib`strlen                                    1   0.2%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.2%
click`RouterThread::run_tasks(int)                          1   0.2%
libsystem_c.dylib`get_tiny_free_size                        2   0.3%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.3%
libsystem_c.dylib`malloc                                    2   0.3%
libsystem_c.dylib`pthread_self                              2   0.3%
libsystem_kernel.dylib`madvise                              2   0.3%
libsystem_c.dylib`szone_malloc_should_clear                 2   0.3%
libsystem_c.dylib`tiny_free_detach_region                   3   0.5%
libsystem_c.dylib`tiny_free_list_remove_ptr                 3   0.5%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     3   0.5%
libsystem_c.dylib`szone_size                                3   0.5%
libsystem_c.dylib`memmove$VARIANT$sse42                     4   0.7%
click`PoundRadixIPLookupM107::run_task(Task*)               5   0.8%
libsystem_c.dylib`tiny_malloc_from_free_list                6   1.0%
libsystem_c.dylib`bzero$VARIANT$sse42                       8   1.3%
libsystem_c.dylib`szone_free_definite_size                  8   1.3%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       13   2.1%
click`_ZL18ip_address_portionPKcS0_PhRi                    34   5.5%
click`Master::check_driver()                               41   6.7%
click`RouterThread::lock_tasks()                           58   9.4%
click`Lexer::FileState::lex_config(Lexer*)                 59   9.6%
click`_ZL18skip_spacevec_itemPKcS0_                        66  10.7%
click`0x0                                                  77  12.5%
click`_ZL17partial_uncommentRK6StringiPi                  101  16.4%
click`cp_shift_spacevec(String&)                          104  16.9%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
click`HashTable<Pair<String                                 0   0.0%
click`cp_basic_integer(char                                 0   0.0%
click`IPAddress::make_prefix(int)                           1   0.1%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.1%
libsystem_c.dylib`tiny_free_list_add_ptr                    1   0.1%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.1%
libsystem_c.dylib`__fread                                   1   0.1%
libsystem_c.dylib`pthread_self                              2   0.2%
click`DYLD-STUB$$pthread_self                               2   0.2%
libsystem_c.dylib`szone_malloc_should_clear                 3   0.4%
libsystem_c.dylib`tiny_malloc_from_free_list                3   0.4%
libsystem_c.dylib`get_tiny_previous_free_msize              5   0.6%
libsystem_c.dylib`tiny_free_list_remove_ptr                 5   0.6%
libsystem_c.dylib`memmove$VARIANT$sse42                     6   0.7%
libsystem_c.dylib`szone_size                                6   0.7%
libsystem_c.dylib`bzero$VARIANT$sse42                       7   0.9%
libsystem_c.dylib`szone_free_definite_size                 10   1.2%
click`RadixIPLookup107::Radix::free_radix(RadixIPLookup107::Radix*)       13   1.6%
click`PoundRadixIPLookupM107::run_task(Task*)              14   1.7%
click`_ZL18ip_address_portionPKcS0_PhRi                    28   3.5%
click`_ZL18skip_spacevec_itemPKcS0_                        54   6.7%
click`Master::check_driver()                               54   6.7%
click`Lexer::FileState::lex_config(Lexer*)                 58   7.2%
click`cp_shift_spacevec(String&)                           76   9.5%
click`0x0                                                  85  10.6%
click`_ZL17partial_uncommentRK6StringiPi                  105  13.1%
click`RouterThread::lock_tasks()                          260  32.5%
Sampling... Hit Ctrl-C to end.

FUNCTION                                                COUNT   PCNT
click`Vector<String>::reserve_and_push_back(int,            0   0.0%
click`RadixIPLookup107::Radix::change(unsigned              0   0.0%
click`IPRouteTable::configure(Vector<String>&,              0   0.0%
click`Vector<String>::erase(String*,                        0   0.0%
click`cp_expand(String                                      0   0.0%
click`Vector<IPRoute>::reserve_and_push_back(int,           0   0.0%
click`String::equals(char                                   0   0.0%
click`cp_argvec(String                                      0   0.0%
click`cp_ip_prefix(String                                   0   0.0%
click`RadixIPLookup107::add_route(IPRoute                   0   0.0%
click`cp_ip_route(String,                                   0   0.0%
click`cp_ip_address(String                                  0   0.0%
libstdc                                                     0   0.0%
click`cp_basic_integer(char                                 0   0.0%
libsystem_c.dylib`pthread_getspecific                       1   0.1%
libsystem_c.dylib`tiny_free_reattach_region                 1   0.1%
libsystem_c.dylib`malloc                                    1   0.1%
libsystem_c.dylib`pthread_self                              1   0.1%
libsystem_c.dylib`tiny_free_scan_madvise_free               1   0.1%
libsystem_c.dylib`strlen                                    1   0.1%
libsystem_c.dylib`_spin_lock$VARIANT$mp                     1   0.1%
click`IPAddress::make_prefix(int)                           2   0.3%
libsystem_c.dylib`get_tiny_previous_free_msize              2   0.3%
libsystem_c.dylib`tiny_free_detach_region                   2   0.3%
click`DYLD-STUB$$pthread_self                               2   0.3%
libsystem_c.dylib`OSAtomicAdd32Barrier$VARIANT$mp           2   0.3%
libsystem_c.dylib`free                                      2   0.3%
